Strike($),Payoff($),
$0.00 ,$0 ,
$0.25 ,"($1,000,000)",
$0.50 ,"($2,000,000)",
$0.75 ,"($3,000,000)",
$1.00 ,"($4,000,000)",
$1.25 ,"($5,000,000)",
$1.50 ,"($6,000,000)",
$1.75 ,"($7,000,000)",
$2.00 ,"($8,000,000)",
$2.25 ,"($9,000,000)",
$2.50 ,"($10,000,000)",
$2.75 ,"($11,000,000)",
$3.00 ,"($12,000,000)",
$3.25 ,"($13,000,000)",
$3.50 ,"($14,000,000)",
$3.75 ,"($15,000,000)",
$4.00 ,"($16,000,000)",
$4.25 ,"($17,000,000)",
$4.50 ,"($18,000,000)",
$4.75 ,"($19,000,000)",
$5.00 ,"($20,000,000)",
