FIL spot = 0.7387 | 12 smiles: [('6JUN26', 1), ('7JUN26', 2), ('8JUN26', 3), ('9JUN26', 4), ('12JUN26', 7), ('19JUN26', 14), ('26JUN26', 21), ('31JUL26', 56), ('28AUG26', 84), ('25SEP26', 112), ('25DEC26', 203), ('26MAR27', 294)]
instrument                         qty  pf_iv  px_iv     pf_px     px_px        pf_mtm        px_mtm   dMTM%   src
------------------------------------------------------------------------------------------------------------------
FIL-02JUN26-0.5-P              500,000  291.3  291.3    0.0000    0.0000             0             0    0.0%  TERM
FIL-02JUN26-1-P                500,000  375.0  374.4    0.2600    0.2613       130,646       130,646    0.0%  TERM
FIL-02JUN26-1.5-P             -500,000  374.4  374.4    0.7600    0.7613      -380,646      -380,646    0.0%  TERM
FIL-12JUN26-0.5-P              600,000  227.1  227.1    0.0100    0.0073         4,397         4,397   -0.0% exact
FIL-12JUN26-1-P                600,000  208.6  208.8    0.2800    0.2760       165,587       165,612    0.0% exact
FIL-12JUN26-1.5-P             -600,000  247.3  247.3    0.7600    0.7628      -457,652      -457,652   -0.0% exact
FIL-30JUN26-0.5-P              500,000  225.1  227.3    0.0500    0.0520        25,470        26,001    2.1%  TERM
FIL-30JUN26-1-P                500,000  150.7  151.4    0.3000    0.3023       150,947       151,156    0.1%  TERM
FIL-30JUN26-1.5-P             -500,000  212.0  213.4    0.7900    0.7871      -393,242      -393,557   -0.1%  TERM
FIL-02JUL26-0.3-P              500,000  318.5  324.6    0.0300    0.0296        13,994        14,797    5.7%  TERM
FIL-02JUL26-0.8-P              500,000  137.5  137.7    0.1500    0.1454        72,592        72,681    0.1%  TERM
FIL-02JUL26-1.3-P             -500,000  188.9  190.3    0.5900    0.5939      -296,561      -296,937   -0.1%  TERM
FIL-05JUN26-0.3-P              600,000  291.3  291.3    0.0000    0.0000             0             0    0.0%  TERM
FIL-05JUN26-0.8-P              600,000  241.5  241.6    0.0600    0.0613        36,775        36,775    0.0%  TERM
FIL-05JUN26-1.5-P             -600,000  374.4  374.4    0.7600    0.7613      -456,775      -456,775   -0.0%  TERM
FIL-05JUN26-0.5-P              600,000  291.3  291.3    0.0000    0.0000             0             0    0.0%  TERM
FIL-05JUN26-0.9-C             -600,000  314.1  314.1    0.0000    0.0000            -0            -0    0.0%  TERM
FIL-05JUN26-1.09-C             900,000  374.4  374.4    0.0000    0.0000             0             0    0.0%  TERM
FIL-19JUN26-0.89-P           1,600,000  147.7  148.0    0.1900    0.1853       296,254       296,470    0.1% exact
FIL-19JUN26-2.16-P            -800,000  201.8  201.8    1.4200    1.4216    -1,137,304    -1,137,304    0.0% exact
FIL-19JUN26-0.5-C             -800,000  205.0  205.0    0.2600    0.2577      -206,175      -206,175   -0.0% exact
FIL-19JUN26-1.7-C              800,000  201.8  201.8    0.0000    0.0021         1,695         1,695    0.0% exact
FIL-19JUN26-0.5-P              800,000  205.0  205.0    0.0200    0.0190        15,208        15,208    0.0% exact
FIL-05JUN26-1.3-C            1,000,000  374.4  374.4    0.0000    0.0000             0             0    0.0%  TERM
FIL-06JUL26-1.4-C            1,000,000  190.1  191.8    0.0300    0.0330        32,031        32,993    3.0%  TERM
FIL-16JUL26-1-P                850,000  140.2  140.8    0.3200    0.3226       273,726       274,215    0.2%  TERM
FIL-16JUL26-1.7-P             -500,000  200.2  202.1    1.0000    0.9981      -498,443      -499,031   -0.1%  TERM
FIL-16JUL26-1-C             -1,000,000  140.2  140.8    0.0600    0.0613       -60,740       -61,315   -0.9%  TERM
FIL-16AUG26-1-C             -1,000,000  128.4  128.6    0.0900    0.0894       -89,282       -89,418   -0.2%  TERM
FIL-12JUN26-0.64-P           1,200,000  216.1  216.2    0.0400    0.0365        43,738        43,785    0.1% exact
FIL-12JUN26-1.01-P             900,000  211.7  212.1    0.2900    0.2858       257,113       257,198    0.0% exact
FIL-12JUN26-2.02-P            -600,000  247.3  247.3    1.2800    1.2814      -768,822      -768,822    0.0% exact
FIL-12JUN26-1.74-C             600,000  247.3  247.3    0.0000    0.0004           224           224    0.0% exact
FIL-05JUN26-1-P                700,000  375.0  374.4    0.2600    0.2613       182,904       182,904    0.0%  TERM
FIL-05JUN26-2.03-P            -700,000  374.4  374.4    1.2900    1.2913      -903,904      -903,904    0.0%  TERM
FIL-05JUN26-0.39-C            -800,000  291.3  291.3    0.3500    0.3487      -278,967      -278,967    0.0%  TERM
FIL-05JUN26-2.1-C              800,000  374.4  374.4    0.0000    0.0000             0             0    0.0%  TERM
FIL-05JUN26-0.5-P              700,000  291.3  291.3    0.0000    0.0000             0             0    0.0%  TERM
FIL-17JUN26-0.8-P              700,000  148.5  150.0    0.1100    0.1140        79,287        79,817    0.7%  TERM
FIL-17JUN26-1.1-P             -500,000  200.4  207.8    0.3800    0.3832      -190,381      -191,592   -0.6%  TERM
FIL-17OCT26-1-C             -1,000,000  127.5  127.5    0.1500    0.1486      -148,571      -148,587   -0.0%  TERM
------------------------------------------------------------------------------------------------------------------
TOTAL                                                                       -4,484,876    -4,484,110    0.0%
